Date,month,day,year,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,State,Country,Summary
09-06-1928,9,6,1928,,"Heroldbach, Germany",Deutsche Lufthansa,,,Fokker FG III,D-180,1531,3,3,0,Heroldbach,Germany,Engine failure.
12-04-1928,12,4,1928,,"Rio de Janeiro, Brazil",,,,Junkers G24,,,6,6,0,RiodeJaneiro,Brazil,The aircraft's wingtip struck the water and crashed into Rio de Janeiro Bay.
12-11-1928,12,11,1928,,"Letzlingen, Germany",Deutsche Lufthansa,,,Junkers G-31,D-1473,3005,4,3,0,Letzlingen,Germany,Weather related.
03/17/1929,3,17,1929,,"Newark, New Jersey",Colonial Western Airlines,,Sightseeing,Ford 5-AT-B Tri Motor,NC7683,4-AT-41,15,14,0,Newark,NewJersey,The plane was making the last of a number of sightseeing flights when one of it's three engines failed. The Plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure.
08/24/1929,8,24,1929,,"Sochi, Russia",Ukvozduchput,,,Kalinin K-4,CCCP-217,,1,1,0,Sochi,Russia,
08/24/1929,8,24,1929,,"Elm, Germany",Deutsche Lufthansa,,,Fokker FG II,D-757,1571,5,4,0,Elm,Germany,Weather related.
12/19/1929,12,19,1929,,"Near Berlin, Germany",Deutsche Lufthansa,,,Arado V1,D-1594,,3,2,0,NearBerlin,Germany,Forced landing 40 miles from Berlin.
04/18/1930,4,18,1930,c:17:00,"Jersey City, New Jersey",Canadian Colonial Airways,,"Albany, NY - Jersey City, NJ",Fairchild 71,,634,4,4,0,JerseyCity,NewJersey,Crashed into power lines 150 feet above the ground in fog.
10-06-1930,10,6,1930,09:45,"Dresden, Germany",Deutsche Lufthansa,,Berlin - Vienna,Messerschmitt M-20B,D-1930,443,8,8,0,Dresden,Germany,Crashed into hill while attempting to land.
10/30/1930,10,30,1930,,"Brookston, Indiana",Embry Riddle Company,,,Pitcairn PA-6 Mailwing,,,1,1,0,Brookston,Indiana,After developing engine trouble the pilot tried to parachute out of the plane but the parachute got caught on the plane and the pilot was dragged to his death.
11-07-1930,11,7,1930,,"Off of Santos, Brazil",Syndicato Condor,,,Junkers G-24,P-BAHA,921,9,1,0,OffofSantos,Brazil,Crashed into the sea.
12-09-1930,12,9,1930,,"Shanghai, China",China National Aviation Corporation,,Shanghai - Hankow,Loening C-W Air Yaht,,,6,4,0,Shanghai,China,The lower right wing of the aircraft hit the mast of  a river boat and the plane flipped over on its back and  crashed onto a river bank. The aircraft was named 'Shanghai'.
04/14/1931,4,14,1931,,"Near Letschen, Germany",Deutsche Lufthansa,,,Messerschmitt M-20,D-1928,442,10,2,0,NearLetschen,Germany,Fuselage failure. Four were seriously injured and both the pilot and radio operator were killed.
06/13/1931,6,13,1931,,"Saarbrucken, Germany",Deutsche Lufthansa,,Cologne - Saarbrucken,Dornier Merkur,D-1455,177,4,4,0,Saarbrucken,Germany,"After circling in fog for half an hour, the plane rose to about 300 ft. and nose dived into the ground and burst into flames. Engine failure."
11-05-1931,11,5,1931,06:48,"Camden, New Jersey","NY, Phil., Washington AW",,"Newark, NJ  - Camden, NJ - Washington DC",Lockheed Orion 9,NC12221,178,5,5,0,Camden,NewJersey,Crashed  onto a golf course and burst into flames after circling the airport twice to land.
11/24/1931,11,24,1931,,"Near Tsinan, China",China National Aviation Corporation,,Nanking - Peiking,Stinson,,,3,3,0,NearTsinan,China,Crashed into Chingshan mountain range 10 miles south of Tsinan in fog.
02/27/1932,2,27,1932,,"Off Setiba, Brazil",Aeropostale,,,Latecoere 28,F-AJOX,,3,3,0,OffSetiba,Brazil,
04/21/1932,4,21,1932,,"Fort Wayne, Indiana",Transamerica Airlines,,,Stearman C-3MB,,,1,1,0,FortWayne,Indiana,
08/30/1932,8,30,1932,,"Tubergen, Germany",A B Aerotransport,,,Junkers G-23,SE-AAE,,2,2,0,Tubergen,Germany,
11-02-1932,11,2,1932,,"Echterpfuhl, Germany",Deutsche Lufthansa,,Nuremberg - Frankfort,Junkers F-13,D-724,696,5,5,0,Echterpfuhl,Germany,Crashed into mountainous terrain in the Spessart mountains in fog.
01/14/1933,1,14,1933,,"Newark, New Jersey",Eastern Air Transport,,Test flight,Curtiss Condor 18,NC185H,,2,2,0,Newark,NewJersey,Went into a vertical bank and crashed and burned.
04-03-1933,4,3,1933,,"Hemkenrode, Germany",Deutsche Lufthansa,,,Junkers F-13,D-534,,2,1,0,Hemkenrode,Germany,
04-04-1933,4,4,1933,12:30,"Off Barnegat, New Jersey",Military - U.S. Navy,,,Goodyear-Zeppelin U.S.S. Akron (airship),ZRS-4,,76,73,0,OffBarnegat,NewJersey,"While cruising at 1,600 feet off New Jersey, strong air currents droped the ship to 700 feet before leveling off.  Before it could regain a safe height, it plummeted into the AtlantiOcean. Decision by the commander to fly into a storm despite the presence of lightning."
04/29/1933,4,29,1933,,"Traunstein, Germany",Eurasia,,,Junkers W-34,D-4,2737,4,4,0,Traunstein,Germany,Crashed on a test flight before delivery to Eurasia in China.
10-10-1933,10,10,1933,21:00,"Chesterton, Indiana",United Air Lines,,Cleveland - Chicago,Boeing 247-D,NC13304,1685,10,10,0,Chesterton,Indiana,"While en route to Chicago, the aircraft was destroyed by an explosive device placed in the cargo hold, consisting of nitro-glycerin and attached to a timing device. This was the first proven case of sabotage in the history of commercial aviation."
11/20/1933,11,20,1933,,"Near Tsinan, China",China National Aviation Corporation,,Canton - Shanghi,Sinson,,,8,8,,NearTsinan,China,Crashed into the Chingshan mountain range in fog.
12-11-1933,12,11,1933,,"Hamburg, Germany",Deutsche Lufthansa,,Berlin - Hamburg,Focke-Wulf A-17,D-1403,47,8,7,0,Hamburg,Germany,Crashed after striking an obstacle while landing in poor visibility.
04-10-1934,4,10,1934,,"Ningpo Bay, China",China National Aviation Corporation,,,Sikorsky S-38BB,NV17V,,3,3,0,NingpoBay,China,
06/22/1934,6,22,1934,,"Chausseehausen, Germany",Deutsche Lufthansa,,,Dornier Merkur,D-1445,176,7,1,0,Chausseehausen,Germany,Weather related.
07/27/1934,7,27,1934,,"Near Tuttlingen, Germany",Swissair,,,Curtiss AT-32C Condor,CH-170,53,12,12,0,NearTuttlingen,Germany,"The aircraft crashed during a violent storm near the Swiss - Germany border. The plane fell from a height of 3,000 feet, bursting into flames."
08-05-1934,8,5,1934,,"Bahia, Brazil",Air France,,,Latecoere 26,F-AILK,,2,2,0,Bahia,Brazil,
08-10-1934,8,10,1934,,"Ningbo, China",China National Aviation Corporation,,,Sikorsky S-38B,,,,,,Ningbo,China,
12-07-1934,12,7,1934,,"Salchau, Germany",Deutsche Lufthansa,,,Junkers F-13,D-OMAS,2008,3,3,0,Salchau,Germany,
01/31/1935,1,31,1935,,"Stettin, Germany",Deruluft,,Koenigberg - Berlin,Junkers JU-52/3m,D-AREN,4051,11,11,0,Stettin,Germany,"Crashed full speed into a hill, 450 feet high in rain and fog. Pilot error."
03-07-1935,3,7,1935,,"Schievelbein, Germany",Deruluft,,,Rochrbach Roland,D-AJYP,45,,3,0,Schievelbein,Germany,Fuselage failure.
03/15/1935,3,15,1935,,"El Arish, Egypt",Misrair,,Jerusalem - Cairo,de Havilland Dragon 1,SU-ABI,6031,6,3,0,ElArish,Egypt,"After flying over the airport into a strong headwind, in an attempt to land, one of the aircraft's two engines failed.  While attempting to return to the airport the pilot headed into the strong wind and lost airspeed until he stalled and crashed from a height  of 100 - 130 feet."
03/29/1935,3,29,1935,,"Off Samland, Germany",Deutsche Lufthansa,,,Junkers F-13,D-OHIL,,5,5,0,OffSamland,Germany,
04-06-1935,4,6,1935,,"Brilon, Germany",KLM Royal Dutch Airlines,,"Praha, Czechoslovakia - Amsterdam, Netherlands",Fokker F-12,PH-AFL,5242,7,7,0,Brilon,Germany,Crashed after penetrating a thunderstorm.
05/18/1935,5,18,1935,00:45,"Near Moscow, Russia",Gor'ky Eskadril'ya,,Demonstration,Tupolev ANT-20 / I-5,CCCP-I20,,50,50,2,NearMoscow,Russia,"Midair collision with an I-5 fighter at 2,300 ft. The fighter was performing aerobatics trying to loop around the Tupolev. The plane crashed into a residental neighborhood and was on its maiden flight. The plane was nicknamed 'Maxim Gorky.'  Pilot error. Forty-nine killed on the Tupolev, one on the I-5"
08/13/1935,8,13,1935,,"Hangow, China",China National Aviation Corporation,,,Sikorsky S-38B,NV40V,,,,,Hangow,China,Destoryed in a storm.
08/15/1935,8,15,1935,20:18,"Walakpa, near Point Barrow, Alaska",Private,,,Lockheed Orion 9E Explorer float plane,NR12283,195,2,2,0,Walakpa,Alaska,"Dense fog caused the pilot to make a forced landing about 15 miles south of Point Barrow.  After some mechanical repairs, the plane took off, rose to about 50 feet and then crashed into shallow water. Loss of control of the aircraft at a low altitude after sudden engine failure due to the extreme nose-heaviness of the aircraft. Adventurer, Wiley Post, 37, and humorist, Will Rogers, 56, killed. Most experts believe that a combination of miscalculations in the design and operation of the heavily customized aircraft resulted in the uncontrollable spin that occurred right after takeoff."
11-02-1935,11,2,1935,,"Off Nhambupe, Brazil",Air France,,Bahia - Aracaju,Latécoère 28-1,F-AJIQ,906,4,4,0,OffNhambupe,Brazil,The postal plane crashed at Atalaya Beach.
12/24/1935,12,24,1935,,"Breslau, Germany",Deutsche Lufthansa,,,Heinkel He-70,D-UVOR,915,3,3,0,Breslau,Germany,Pilot error.
12/31/1935,12,31,1935,17:20,"Off Alexandria, Egypt",Imperial Airways,,Mirabella - Alexandria,Short Calcutta,G-AASJ,S-752,13,12,0,OffAlexandria,Egypt,The aircraft ran out of fuel and crashed off Alexandria. The plane was named 'The City of Khartoum.'
03-05-1936,3,5,1936,,"Near Tengya, China",China National Aviation Corporation,,,Ford 5-AT-D Tri-Motor,,,6,0,0,NearTengya,China,Crash landed in mountains during a snowstorm.
06/13/1936,6,13,1936,,"Hannover, Germany",Deutsche Lufthansa,,,Junkers JU-160,D-UPYM,4211,6,1,0,Hannover,Germany,Engine failure.
08-12-1936,8,12,1936,,"Altenkirchen, Germany",British Airways,,,De Havilland DH-86,G-ADEB,,2,2,0,Altenkirchen,Germany,
11-01-1936,11,1,1936,,"Near Tabarz, Germany",Deutsche Lufthansa,,Frankfurt - Erfurt,Junkers JU-52,D-APOO,5506,15,11,0,NearTabarz,Germany,Caught fire as the airliner struck the side of a hill.
11/17/1936,11,17,1936,,"Nurnberg, Germany",Deutsche Lufthansa,,,Junkers JU-52/3m,D-ASUI,5498,16,4,0,Nurnberg,Germany,Pilot error.
12/26/1936,12,26,1936,,"Nanking, China",China National Aviation Corporation,,,Douglas DC-2,NC14269,,,,,Nanking,China,
03/26/1937,3,26,1937,,"Wetnum, Germany",Deutsche Lufthansa,,,Junkers JU-52/3m,D-UPOZ,4207,6,2,0,Wetnum,Germany,Engine failure.
05-06-1937,5,6,1937,19:25,"Lakehurst, New Jersey",Deutsche Zeppelin Reederei,LZ 129,Frankfurt - Lakehurst N.J.,Zeppelin LZ-129,D-LZ-129,D-LZ129,97,35,1,Lakehurst,NewJersey,"The airship Hindenburg caught fire and burned while being moored at Lakehurst, New Jersey.  Possible causes were statidischarge which ignited leaking hydrogen or sabotage. It has been theorized that a sudden turn just before landing caused a steel cable to snap which punctured one of the hydrogen airbags. Thereafter, when mooring ropes were dropped to the ground, the cage was discharged setting up a statidischarge between the Hindenburg's outer skin and frame causing the hydrogen to ignite."
05/20/1937,5,20,1937,,"Stuttgart, Germany",Deutsche Lufthansa,,,Heinkel He-70,D-UXUV,916,4,4,0,Stuttgart,Germany,Crashed on takeoff.
08-08-1937,8,8,1937,10:50,"Chilang Point, Bias Bay, China",China National Aviation Corporation,,Canton - Shanghi,Sikorsky S-43,,,11,3,0,ChilangPoint,China,Forced to ditch into the sea due to bad weather. One wing broke off due to high waves and 8 passengers hung on to the remaining wing until rescued.
11-12-1937,11,12,1937,,"Mannheim, Germany",Deutsche Lufthansa,,Berlin - Mannheim,Heinkel He-111,D-AXAV,1830,12,10,0,Mannheim,Germany,Hit the ground prematurely while attempting to land.
01-04-1938,1,4,1938,,"Frankfurt, Germany",Deutsche Lufthansa,,"Milan, Italy - Frankfurt, Germany",Junkers JU-52/3m,D-ABUR,5777,6,6,0,Frankfurt,Germany,Icing on the wing caused the plane to crash close to the plane's destination.
02-05-1938,2,5,1938,,"Kandalaksha, Russia",TsAGI,,Moscow - Murmansk,V6 (airship),CCCP-V6,,19,13,0,Kandalaksha,Russia,The airship crashed while on a trial flight in preparation of rescuing  Russian scientists on an ice floe in Greenland. The airship crashed into the side of a mountain.
03-07-1938,3,7,1938,,"Datia, India",Air France,,"Hanoi, Vietnam - Paris, France",Potez 621,F-ANQR,4031/12,7,7,0,Datia,India,Crashed and burst into flames shortly after taking off from Dum Dum.
05/22/1938,5,22,1938,13:40,"Sao Paulo, Brazil",Cruzeiro do Sul,,,Junkers JU-52/3m,PP-CBC,5453,17,2,0,SaoPaulo,Brazil,The mail plane crashed while taking off.
08/13/1938,8,13,1938,,"Kiel, Germany",CSA Czech Airlines,,"Prague - Paris, France",Savoia-Marchetti SM73,OK-BAG,,17,16,0,Kiel,Germany,Crashed into the Black Forest mountains in poor weather conditions. One stewardess survived.
08/15/1938,8,15,1938,,"Guanabara, Brazil",Syndicato Condor,,Guanabara - Victoria,Junkers JU-52/3m,PP-CAT,4024,9,9,0,Guanabara,Brazil,"Flew into a mountain wave after taking off, went into a dive and crashed into Guanabara Bay."
08/24/1938,8,24,1938,08:00,"Wangmoon, China",China National Aviation Corporation,,Hong Kong - Chungking,Douglas DC-2,32,1369,17,14,0,Wangmoon,China,"While en route from Hong Kong to Chungking, the aircraft was shot down by Japanese military fighters. The aircraft was named Kweilin."
10-10-1938,10,10,1938,,"Soest, Germany",Sabena,,Brussells - Berlin,Savbia-Marchetti  S-73P,OO-AGT,,20,20,0,Soest,Germany,The aircraft broke-up in midair and crashed to the ground.Airport.
01/13/1939,1,13,1939,,"Rio de Janeiro, Brazil",Syndicato Condor,,,Junkers JU-52/3m,PP-CAY,4042,9,9,0,RiodeJaneiro,Brazil,The seaplane crashed in flames in mountains northeast of Rio de Janeiro.
08-09-1940,8,9,1940,,"Hannover, Germany",Deutsche Lufthansa,,,Douglas DC-2-115H,D-AIAV,1366,13,2,0,Hannover,Germany,Pilot error.
08/13/1939,8,13,1939,16:35,"Rio de Janerio, Brazil",Pan American World Airways,,Miami - Rio de Janerio,Sikorsky S43 (flying boat),NC16933,,16,14,0,RiodeJanerio,Brazil,"The plane lost power from the left engine, yawed to the left, and started a descending turn in the same direction. The plane continued to lose altitude and turn at a sharper and steeper angle until it struck a caisson anchored at right angles to a small island in the harbor immediately adjacent to its landing approach path.   Loss of power from the left engine during the landing approach, necessitating an attempted landing under extremely hazardous conditions."
08/28/1939,8,28,1939,,"Lahore, India",Indian National Airways,,,De Havilland D-84,VT-AEL,,2,2,0,Lahore,India,
08/30/1939,8,30,1939,,"Hannover, Germany",Deutsche Lufthansa,,Berlin - Hanover - Cologne - London,Junkers JU-52/3m,D-AFOP,5800,7,7,0,Hannover,Germany,The aircraft crashed while taking off from Hanover. Visibility was poor because of low fog covering the runway. The pilot was searching for the proper flight path when the plane veered towards a building while still 40 meters above the ground. The pilot tried to raise the plane while trying to turn left at the same time but lost control and crashed and the plane caught fire.The passengers were pilots of Lufthansa.
10/29/1940,10,29,1940,,"Near Changyi, China",China National Aviation Corporation,,Chungking - Kunming,Douglas DC-2,NC14297,1369,14,9,0,NearChangyi,China,Shot down by Japanese military fighters. The plane ran into 5 Japanese fighters and made an emergency landing at a remote field only to be machine-gunned while trying to escape.
10/29/1940,10,29,1940,,"Berlin, Germany",Deutsche Lufthansa,,,Douglas DC-3,D-AAIH,1973,15,2,0,Berlin,Germany,Weather related.
11-08-1940,11,8,1940,,"Brauna, Germany",Deutsche Lufthansa,,,Junkers JU-90,D-AVMF,10,29,29,0,Brauna,Germany,Icing.
11-09-1940,11,9,1940,,"Rio de Janeiro, Brazil",,,Rio de Janeiro - Sao Paulo,,,,18,18,0,RiodeJaneiro,Brazil,Midair collisioin with a private plane.
01/20/1941,1,20,1941,,"Near Kian, China",China National Aviation Corporation,,,Ford 5-AT Tri-Motor,,,6,5,0,NearKian,China,Crashed into mountains during a thunderstorm
08/18/1941,8,18,1941,,"Near Sao Paulo, Brazil",Panair do Brasil,,Porto Alegre - Rio de Janera,Lockheed 18 LodeStar,PP-PBD,2083,12,8,0,NearSaoPaulo,Brazil,Crashed in a mountain range while enroute.
03/14/1942,3,14,1942,22:15,"Kunming, China",China National Aviation Corporation,,,Douglas DC-2-221,31,1567,17,13,0,Kunming,China,"Crashed 2 km from the Kunming Airdome shortly after takeoff.  Possible causes include engine failure,  overloading, sabotage and temporary blinding by a bright light."
10-01-1942,10,1,1942,,"Kunming, China",China National Aviation Corporation,,,Douglas C-47,69,,,,,Kunming,China,Crashed while attempting to land after losing oil pressure on one engine.
03-11-1943,3,11,1943,,"Luishui, China",China National Aviation Corporation,,Kunming - Assam,Douglas C-53,53,,3,3,0,Luishui,China,The cargo plane was caught in a downdraft in a mountain pass en route and crashed.
03/13/1943,3,13,1943,,"Himalaya, China",China National Aviation Corporation,,Kunming - Dinjan,Douglas C-53,49,,3,3,0,Himalaya,China,Disappeared over the Himalayas.
08-11-1943,8,11,1943,,"Fort Hertz, China",China National Aviation Corporation,,,Douglas C-53,48,,3,3,0,FortHertz,China,The cargo plane was shot down by Japanese fighters.
08/27/1943,8,27,1943,,"Rio de Janeiro, Brazil",VASP,,,Junkers JU-52/3m,PP-SPD,5459,21,18,0,RiodeJaneiro,Brazil,Struck a Naval Academy building while attemptin to take off.  The plane then broke in two and fell into the harbor. The plane was named 'City of Rio de Janiero.'
09/22/1943,9,22,1943,06:00,"Near Calcutta, India",Military - U.S. Army Air Forces,,,Douglas C-53,42-6471,4923,20,20,0,NearCalcutta,India,Cashed into trees shortly after taking off.
11-08-1943,11,8,1943,,"Poona, India",Military - Indian Air Force,,,,,,1,1,37,Poona,India,Crashed into a village.
11/19/1943,11,19,1943,,"Kunming, China",China National Aviation Corporation,,,Douglas C-53,59,,3,2,0,Kunming,China,The cargo plane crashed short of the runway in poor weather conditions.
11/19/1943,11,19,1943,,"Kunming, China",China National Aviation Corporation,,,Douglas C-47,63,,3,3,0,Kunming,China,A navigational error caused the cargo plane to strike a mountain.
12/18/1943,12,18,1943,,"Suifu, China",China National Aviation Corporation,,,Douglas C-47,83,,3,3,0,Suifu,China,The cargo plane struck a mountain while attempting a go-around.
02/20/1944,2,20,1944,,China,China National Aviation Corporation,,,Douglas C-47,75,,2,2,0,China,,The cargo plane flew into a mountain
04-06-1944,4,6,1944,15:48,"Near Nome, Alaska",Pan American World Airways,,Nome - Fairbanks,Pilgrim 100B,NC742N,,6,6,0,NearNome,Alaska,Crashed shortly after takeoff in a snow storm. Failure of the pilot to recognize his proximity to the ground due to heavy snow which entirely covered the terrain.
05/26/1944,5,26,1944,,"Between Calcutta to Dinjan, China",China National Aviation Corporation,,Calcutta - Dinjan,Douglas C-47,82,,12,12,0,BetweenCalcuttatoDinjan,China,"While enroute the crew got lost and crashed into 22,000 foot mountain in Tibet. Bad weather prevented the pilot from getting a bearing on any radio station."
05/27/1944,5,27,1944,,"Off Calcutta, India",China National Aviation Corporation,,,Douglas DC-3,,,14,14,0,OffCalcutta,India,Crashed at sea in poor weather conditions.
06-08-1944,6,8,1944,,"Kunming, China",China National Aviation Corporation,,Dijan - Kunming,Douglas C-47,85,,6,6,0,Kunming,China,"The plane discintigrated in mid-aid. The jack pad had been removed from the right wing root. This left 4 large holes directly under the fuel tanks and directly in line with the exhaust. When the throttles were cut to descend, the flame only went as far back as the holes. There the flames went up around the fuel tank, igniting the fumes and blew the wing off."
06/18/1944,6,18,1944,,"Kweilin, China",China National Aviation Corporation,,"Kunming - Chungking,",Douglas C-47,71,,4,2,0,Kweilin,China,"Diverted to Kweilin after Chunking was below minimums. After holding over Kweilin for 3 hours, the aircraft ran out of gas, hit mountain and was demolished."
06/20/1944,6,20,1944,,"Porto Alegre, Brazil",Varig,,,Lockheed 10C Electra,PP-VAG,1008,10,10,0,PortoAlegre,Brazil,Crashed into a river.
08/30/1944,8,30,1944,,"Sao Paulo, Brazil",Panair do Brasil,,,Lockheed 18 Lodestar,PP-PBI,2114,16,16,0,SaoPaulo,Brazil,Crashed in fog.
09/21/1944,9,21,1944,,"Rio Doce, Brazil",Panair do Brasil,,,Lockheed 18 Lodestar,PP-PBH,2113,17,17,0,RioDoce,Brazil,
10-07-1944,10,7,1944,,"Near Sadiya, India",China National Aviation Corporation,,Dinjan - Suifu,Douglas C-47,101,,3,3,0,NearSadiya,India,Both wing of the cargo plane separated from the fuselage after the aircraft penetrated a thunderstorm.
11/30/1944,11,30,1944,,"Dinjan, China",China National Aviation Corporation,,,Douglas C-47,56,,3,3,0,Dinjan,China,The cargo plane flew into Digboi Mountain after losing both engines.
01-06-1945,1,6,1945,,"Near Dinjan, India",China National Aviation Corporation,,Kunming - Tengchung,Douglas C-47,77,,4,4,0,NearDinjan,India,The cargo plane crashed in strong winds
01/14/1945,1,14,1945,,China,China National Aviation Corporation,,,Douglas C-47,70,,6,4,0,China,,The cargo plane struck a mountain.
01/16/1945,1,16,1945,,"Near Kunming, China",China National Aviation Corporation,,Chongqing - Kunming,Douglas C-47,,,3,3,0,NearKunming,China,
02/15/1945,2,15,1945,,"Lagoa Santa, Brazil",Navegacao Aerea Brasileira,,,Lockheed 18 Loadstar,PP-NAE,2149,11,11,0,LagoaSanta,Brazil,
04-09-1945,4,9,1945,,"Kunming, China",China National Aviation Corporation,,Kunming - Sichang,Douglas C-47,88,,3,3,0,Kunming,China,The cargo plane struck a mountain in the Himalayas under poor weather conditions.
04/21/1945,4,21,1945,,"Munchen, Germany",Deutsche Lufthansa,,,Focke-Wulf FW 200,D-ASHH,,21,21,0,Munchen,Germany,
06/15/1945,6,15,1945,,China,China National Aviation Corporation,,,Douglas C-47,81,,3,3,0,China,,"The aircraft crashed into a mountain in the Carstenz Range at an altitude of 14,200 ft. The wreckage was discovered in December 1970."
06/29/1945,6,29,1945,,"Bangalore, India",Military - Royal Indian Air Force,,,,,,2,2,36,Bangalore,India,Crashed into a village exploding and destoying several houses.
09/28/1945,9,28,1945,,"Near Chihkiang, China",Military - United States Army Air Force,,,Curtiss C-46D,42-101183,30638,20,20,0,NearChihkiang,China,
10/16/1945,10,16,1945,11:30,"Near Peking, China",Military - U.S. Army Air Forces,,Hankou - Peking,Curtiss-Wright C-46F-CU,44-78591,22414,59,59,0,NearPeking,China,Struck a radio transmission tower while on approach for landing at Nanyman field.
10/20/1945,10,20,1945,,"Between Shanghi and Canton, China",China National Aviation Corporation,,Shanghai - Canton,Douglas C-47,,,31,31,0,BetweenShanghiandCanton,China,Crashed into a mountain while en route.
10/23/1945,10,23,1945,,"Near Chiringa, India",Military - Royal Air Force,,,Douglas C-47B,KJ957,14804/26249,14,14,0,NearChiringa,India,Penetrated a thunderstorm and broke-up.
